Datetime,Open,High,Low,Close,Volume
2026-02-16 08:00:00+00:00,68546.15,68742.27,68523.09,68716.8,0
2026-02-16 09:00:00+00:00,68736.59,69019.57,68723.82,68958.37,53555200
2026-02-16 10:00:00+00:00,68957.23,68957.23,68696.99,68774.85,0
2026-02-16 11:00:00+00:00,68761.68,68858.46,68334.48,68831.3,144420864
2026-02-16 12:00:00+00:00,68821.17,69762.09,68781.71,69743.8,695001088
2026-02-16 13:00:00+00:00,69723.68,70006.73,68229.5,68380.53,264687616
2026-02-16 14:00:00+00:00,68369.28,68599.05,68277.01,68421.92,376889344
2026-02-16 15:00:00+00:00,68455.78,68529.51,67316.98,67508.3,2345316352
2026-02-16 16:00:00+00:00,67497.18,67899.62,67497.18,67837.59,105246720
2026-02-16 17:00:00+00:00,67850.54,68013.77,67593.74,67921.7,0
2026-02-16 18:00:00+00:00,67919.32,68192.63,67820.08,67831.42,0
2026-02-16 19:00:00+00:00,67857.81,68064.59,67796.65,67921.14,0
2026-02-16 20:00:00+00:00,67890.89,68436.7,67825.58,68436.7,0
2026-02-16 21:00:00+00:00,68491.77,68879.12,68414.46,68879.12,55095296
2026-02-16 22:00:00+00:00,68840.58,68840.58,68509.98,68604.2,459511808
2026-02-16 23:00:00+00:00,68568.63,68941.4,68518.18,68851.22,0
2026-02-17 00:00:00+00:00,68852.83,68991.99,68677.43,68846.25,0
2026-02-17 01:00:00+00:00,68841.48,68941.26,68568.56,68606.77,139864064
2026-02-17 02:00:00+00:00,68586.61,69201.87,68391.23,68926.26,0
2026-02-17 03:00:00+00:00,68805.58,68805.58,68440.22,68462.93,0
2026-02-17 04:00:00+00:00,68439.7,68648.92,68267.84,68403.92,0
2026-02-17 05:00:00+00:00,68432.42,68461.11,67903.2,68198.42,440700928
2026-02-17 06:00:00+00:00,68203.05,68460.68,68203.05,68386.94,0
2026-02-17 07:00:00+00:00,68382.25,68438.2,68154.48,68365.08,0
2026-02-17 08:00:00+00:00,68353.04,68436.59,68102.56,68135.63,0
2026-02-17 09:00:00+00:00,68142.84,68252.66,67952.11,68072.15,9678848
2026-02-17 10:00:00+00:00,68083.03,68127.32,67713.69,67775.84,67244032
2026-02-17 11:00:00+00:00,67854.14,67881.3,67687.76,67828.9,0
2026-02-17 12:00:00+00:00,67808.42,68246.14,67802.88,67849.43,0
2026-02-17 13:00:00+00:00,67873.9,68264.55,67735.77,68081.4,0
2026-02-17 14:00:00+00:00,68094.3,68293.27,66745.93,66916.46,959393792
2026-02-17 15:00:00+00:00,66837.2,67363.22,66662.69,67354.39,526827520
2026-02-17 16:00:00+00:00,67319.15,68069.48,67319.15,67492.43,1101996032
2026-02-17 17:00:00+00:00,67487.77,67671.64,66955.14,67231.84,539088896
2026-02-17 18:00:00+00:00,67204.98,68172.95,67126.87,68172.95,850409472
2026-02-17 19:00:00+00:00,68084.12,68144.77,67752.55,67791.66,770482176
2026-02-17 20:00:00+00:00,67763.95,67867.82,67515.13,67735.79,415297536
2026-02-17 21:00:00+00:00,67764.27,67890.79,67509.89,67639.21,0
2026-02-17 22:00:00+00:00,67637.66,67735.75,67491.88,67516.09,0
2026-02-17 23:00:00+00:00,67509.93,67577.68,67389.24,67507.32,0
2026-02-18 00:00:00+00:00,67482.65,67593.42,67263.74,67291.0,0
2026-02-18 01:00:00+00:00,67286.46,67329.53,66877.98,67121.06,218458112
2026-02-18 02:00:00+00:00,67126.41,67354.55,67126.41,67306.35,0
2026-02-18 03:00:00+00:00,67290.26,67639.05,67290.26,67636.99,0
2026-02-18 04:00:00+00:00,67597.71,67820.77,67471.22,67791.82,0
2026-02-18 05:00:00+00:00,67767.27,67876.35,67579.34,67614.83,0
2026-02-18 06:00:00+00:00,67609.28,67921.24,67597.2,67809.15,0
2026-02-18 07:00:00+00:00,67813.7,68168.6,67664.03,68102.8,666810368
2026-02-18 08:00:00+00:00,68090.76,68385.98,68054.47,68086.59,180414464
2026-02-18 09:00:00+00:00,68098.02,68242.64,67999.45,68149.05,0
2026-02-18 10:00:00+00:00,68133.05,68145.26,67737.59,67750.21,0
2026-02-18 11:00:00+00:00,67762.55,67762.55,67113.76,67358.87,520798208
2026-02-18 12:00:00+00:00,67346.34,67626.23,67346.34,67478.89,0
2026-02-18 13:00:00+00:00,67432.38,67557.6,67088.03,67210.88,0
2026-02-18 14:00:00+00:00,67216.82,67333.87,66767.72,67150.77,0
2026-02-18 15:00:00+00:00,67257.75,68274.95,67257.75,67606.55,0
2026-02-18 16:00:00+00:00,67661.48,67661.48,66996.95,67100.0,0
